PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,
Cheyenne Parker ,V,216100,V,200000,UFA,,,,,,
Allisha Gray ,V,194600,V,185000,V,190000,UFA,,,,
Danielle Robinson ,V,155000,UFA,,,,,,,,
Monique Billings ,V,145000,UFA,,,,,,,,
Nia Coffey ,V,130000,UFA,,,,,,,,
Aari McDonald ,U,78586,R,89302,RFA,,,,,,
Asia Durr (AD),TC,74305,RFA,,,,,,,,
Beatrice Mompremier ,TC,74305,RFA,,,,,,,,
Rhyne Howard,U,73584,U,80943,OPT,91981,RFA,,,,
Iliana Rupert,U,67634,U,74398,OPT,84543,RFA,,,,
Naz Hillmon,U,64657,U,71124,OPT,80823,RFA,,,,
Mikayla Pivec,TC,62285,Reserved,,,,,,,,
Lorela Cubaj,TC,62285,Reserved,,,,,,,,
Kia Vaughn ,UFA,,,,,,,,,,
Maite Cazorla,SuspCE,,,,,,,,,,
Cap Room,,295339,,762433,,1059753,,1552300,,1598800,
2023 Round 1 Pick 6 (6) (NYL),U,71300,U,72727,U,79999,OPT,90908,RFA,,
2023 Round 1 Pick 8 (8) (WAS),U,71300,U,72727,U,79999,OPT,90908,RFA,,
2023 Round 2 Pick 3 (15) (ATL),U,65290,U,66597,U,73258,OPT,83248,RFA,,
2024 Round 1 Pick ? (?) (ATL),,,U,"$??,???",U,"$??,???",U,"$??,???",OPT,"$??,???",
2024 Round 2 Pick ? (?) (ATL),,,U,67249,U,68595,U,75456,OPT,85745,
2024 Round 3 Pick ? (?) (ATL),,,U,64154,U,65438,U,68711,OPT,78527,
2025 Round 2 Pick ? (?) (ATL),,,,,U,69267,U,70653,U,77720,
2025 Round 3 Pick ? (?) (ATL),,,,,U,66079,U,67401,U,70773,
,,,,,,,,,,,
,,,,,,,,,,,
,,,"$1,598,800 ",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
