PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,
Azurá Stevens,V,"$190,000 ",V,"$195,000 ",UFA,,,,,,,
Jasmine Thomas ,V,"$190,000 ",UFA,,,,,,,,"2019, 2020",
Nneka Ogwumike ,V,"$169,500 ",UFA,,,,,,,,"2021, 2022",
Dearica Hamby ,V,"$169,000 ",V,"$169,000 ",UFA,,,,,,,
Katie Lou Samuelson ,V,"$130,000 ",UFA,,,,,,,,,
Chiney Ogwumike ,U,"$90,000 ",UFA,,,,,,,,,
Lexie Brown,U,"$78,000 ",U,"$80,340 ",UFA,,,,,,,
Jordin Canada ,TC,"$74,305 ",UFA,,,,,,,,,
Layshia Clarendon ,TC,"$74,305 ",UFA,,,,,,,,,
Reshanda Gray ,TC,"$74,305 ",UFA,,,,,,,,,
Karlie Samuelson ,TC,"$74,305 ",RFA,,,,,,,,,
Rae Burrell,U,"$67,634 ",U,"$74,398 ",OPT,"$84,543 ",RFA,,,,,
Yang Liwei,TC,"$62,285 ",U,"$64,154 ",Reserved,,,,,,,
Kristi Toliver ,UFA,,,,,,,,,,,
Maria Vadeeva,SuspCE,,,,,,,,,,,
Stephanie Talbot ,Full Susp,,V,"$115,000 ",UFA,,,,,,,
Chennedy Carter ,Waived,"$86,701 ",,,,,,,,,,
Total Salaries (excl. TC),,"$1,170,835 ",,"$697,892 ",,"$84,543 ",,$0 ,,$0 ,,
Total Players (excl. TC),,8 ,,6 ,,1 ,,0 ,,0 ,,
Cap Room,,"$249,665 ",,"$765,308 ",,"$1,422,557 ",,"$1,552,300 ",,"$1,598,800 ",,
Open Roster Slots,,3 to 4 ,,5 to 6 ,,10 to 11 ,,,,,,
Above/Below Minimum,,"-$18,155 ",,"-$526,738 ",,"-$1,176,897 ",,"-$1,299,240 ",,"-$1,338,210 ",,
Total Guaranteed Salary,,"$935,201 ",,"$479,000 ",,$0 ,,$0 ,,$0 ,,
Total Protected Veterans,,6 ,,3 ,,0 ,,0 ,,0 ,,
Open Protected Veteran Slots,,0 ,,3 ,,6 ,,6 ,,6 ,,
Core Player,Available ,,Available ,,Available ,,Available ,,Available,,,
2023 Round 1 Pick 10 (10) (CON),U,"$68,295 ",U,"$69,663 ",U,"$76,630 ",OPT,"$87,080 ",RFA,,,
2023 Round 2 Pick 2 (14) (LAS),U,"$65,290 ",U,"$66,597 ",U,"$73,258 ",OPT,"$83,248 ",RFA,,,
2023 Round 3 Pick 2 (26) (LAS),U,"$62,285 ",U,"$63,532 ",U,"$66,710 ",OPT,"$76,240 ",RFA,,,
2024 Round 1 Pick ? (?) (LAS),,,U,"$??,??? ",U,"$??,??? ",U,"$??,??? ",OPT,"$??,??? ",,
2024 Round 1 Pick ? (?) (LVA),,,U,"$??,??? ",U,"$??,??? ",U,"$??,??? ",OPT,"$??,???",,
2024 Round 3 Pick ? (?) (LAS),,,U,"$64,154 ",U,"$65,438 ",U,"$68,711 ",OPT,"$78,527 ",,
2025 Round 1 Pick ? (?) (LAS),,,,,U,"$??,??? ",U,"$??,??? ",U,"$??,??? ",,
2025 Round 2 Pick ? (?) (LAS),,,,,U,"$69,267 ",U,"$70,653 ",U,"$77,720 ",,
2025 Round 3 Pick ? (?) (LAS),,,,,U,"$66,079 ",U,"$67,401 ",U,"$70,773 ",,
,,,,,,,,,,,,
