Pick,Team,Player,School/Country,Position
1,Indiana Fever,Aliyah Boston,South Carolina,F/C
2,Minnesota Lynx,Diamond Miller,Maryland,G
3,Dallas Wings,Maddy Siegrist,Villanova,F
4,Washington Mystics*,Stephanie Soares,Iowa State,F/C
5,Dallas Wings,Lou Lopez Sénéchal,Connecticut,G/F
6,Atlanta Dream,Haley Jones,Stanford,G/F
7,Indiana Fever,Grace Berger,Indiana,G
8,Atlanta Dream,Laeticia Amihere,South Carolina,F
9,Seattle Storm,Jordan Horston,Tennessee,G
10,Los Angeles Sparks,Zia Cooke,South Carolina,G
11,Dallas Wings,Abby Meyers,Maryland,G
12,Minnesota Lynx,Maïa Hirsch,France,C
13,Indiana Fever,Taylor Mikesell,Ohio State,G
14,Los Angeles Sparks,Shaneice Swain,Australia,G
15,Atlanta Dream,Leigha Brown,Michigan,G
16,Minnesota Lynx,Dorka Juhász,Connecticut,F
17,Indiana Fever,LaDazhia Williams,LSU,F
18,Seattle Storm,Madi Williams,Oklahoma,F
19,Dallas Wings,Ashley Joens,Iowa State,G/F
20,Washington Mystics,Elena Tsineke,South Florida,G
21,Seattle Storm,Dulcy Fankam Mendjiadeu,South Florida,F
22,Connecticut Sun,Alexis Morris,LSU,G
23,Chicago Sky,Kayana Traylor,Virginia Tech,G
24,Minnesota Lynx,Brea Beal,South Carolina,G
25,Indiana Fever,Victaria Saxton,South Carolina,F
26,Los Angeles Sparks,Monika Czinano,Iowa,F/C
27,Phoenix Mercury,Destiny Harden,Miami,F
28,Minnesota Lynx,Taylor Soule,Virginia Tech,F
29,Phoenix Mercury,Kadi Sissoko,USC,F
30,New York Liberty,Okako Adika,USC,F
31,Dallas Wings,Paige Robinson,Illinois State,G
32,Washington Mystics,Txell Alarcón,Spain,G
33,Seattle Storm,Jade Loville,Arizona,G/F
34,Connecticut Sun,Ashten Prechtel,Stanford,F
35,Chicago Sky,Kseniya Malashka,Middle Tennessee State,F
36,Las Vegas Aces,Brittany Davis,Alabama,G
