,PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,TEAM
0,Cheyenne Parker ,V,"$216,100 ",V,"$200,000 ",UFA,0,0,0,0,0,0.0,Atlanta Dream
1,Allisha Gray ,V,"$194,600 ",V,"$185,000 ",V,"$190,000 ",UFA,0,0,0,0.0,Atlanta Dream
2,Danielle Robinson ,V,"$155,000 ",UFA,0,0,0,0,0,0,0,0.0,Atlanta Dream
3,Monique Billings ,V,"$145,000 ",UFA,0,0,0,0,0,0,0,0.0,Atlanta Dream
4,Nia Coffey ,V,"$130,000 ",UFA,0,0,0,0,0,0,0,0.0,Atlanta Dream
5,Aari McDonald ,U,"$78,586 ",R,"$89,302 ",RFA,0,0,0,0,0,0.0,Atlanta Dream
6,Asia Durr (AD),TC,"$74,305 ",RFA,0,0,0,0,0,0,0,0.0,Atlanta Dream
7,Beatrice Mompremier ,TC,"$74,305 ",RFA,0,0,0,0,0,0,0,0.0,Atlanta Dream
8,Rhyne Howard,U,"$73,584 ",U,"$80,943 ",OPT,"$91,981 ",RFA,0,0,0,0.0,Atlanta Dream
9,Iliana Rupert,U,"$67,634 ",U,"$74,398 ",OPT,"$84,543 ",RFA,0,0,0,0.0,Atlanta Dream
10,Naz Hillmon,U,"$64,657 ",U,"$71,124 ",OPT,"$80,823 ",RFA,0,0,0,0.0,Atlanta Dream
11,Mikayla Pivec,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0.0,Atlanta Dream
12,Lorela Cubaj,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0.0,Atlanta Dream
13,Kia Vaughn ,UFA,0,0,0,0,0,0,0,0,0,0.0,Atlanta Dream
14,Maite Cazorla,SuspCE,0,0,0,0,0,0,0,0,0,0.0,Atlanta Dream
0,Kahleah Copper,V,"$205,000 ",UFA,0,0,0,0,0,0,0,"2022, 2023",Chicago Sky
1,Marina Mabrey ,V,"$202,000 ",V,"$208,000 ",V,"$210,000 ",UFA,0,0,0,0,Chicago Sky
2,Isabelle Harrison ,V,"$160,000 ",V,"$160,000 ",UFA,0,0,0,0,0,0,Chicago Sky
3,Courtney Williams ,V,"$160,000 ",UFA,0,0,0,0,0,0,0,0,Chicago Sky
4,Elizabeth Williams ,V,"$135,000 ",V,"$135,000 ",UFA,0,0,0,0,0,0,Chicago Sky
5,Astou Ndour-Fall,U,"$115,000 ",UFA,0,0,0,0,0,0,0,0,Chicago Sky
6,Rebekah Gardner,U,"$100,000 ",Reserved,0,0,0,0,0,0,0,0,Chicago Sky
7,Alanna Smith ,U,"$100,000 ",UFA,0,0,0,0,0,0,0,0,Chicago Sky
8,Ruthy Hebard,R,"$83,194 ",RFA,0,0,0,0,0,0,0,0,Chicago Sky
9,Kristine Anigwe ,TC,"$74,305 ",UFA,0,0,0,0,0,0,0,0,Chicago Sky
10,Dana Evans,U,"$69,053 ",OPT,"$78,469 ",RFA,0,0,0,0,0,0,Chicago Sky
11,Li Yueru,U,"$62,285 ",U,"$64,767 ",OPT,"$74,019 ",RFA,0,0,0,0,Chicago Sky
12,Robyn Parks,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,Chicago Sky
13,Feyonda Fitzgerald,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,Chicago Sky
14,Anneli Maley,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,Chicago Sky
15,Emma Meesseman,UFA,0,0,0,0,0,0,0,0,0,0,Chicago Sky
16,Allie Quigley,UFA,0,0,0,0,0,0,0,0,0,2018,Chicago Sky
17,Maria Conde,SuspCE,0,0,0,0,0,0,0,0,0,0,Chicago Sky
18,Julie Allemand,Full Susp,0,SuspCE,0,0,0,0,0,0,0,0,Chicago Sky
0,DeWanna Bonner ,V,"$234,350 ",UFA,0,0,0,0,0,0,0,"2015, 2016, 2018, 2019",Connecticut Sun
1,Alyssa Thomas,V,"$212,000 ",V,"$218,000 ",UFA,0,0,0,0,0,0,Connecticut Sun
2,Brionna Jones ,V,"$208,000 ",UFA,0,0,0,0,0,0,0,2023,Connecticut Sun
3,Tiffany Hayes ,U,"$162,477 ",UFA,0,0,0,0,0,0,0,0,Connecticut Sun
4,Rebecca Allen ,V,"$136,850 ",UFA,0,0,0,0,0,0,0,0,Connecticut Sun
5,Natisha Hiedeman ,U,"$120,000 ",U,"$120,000 ",UFA,0,0,0,0,0,0,Connecticut Sun
6,Tyasha Harris ,R,"$83,194 ",RFA,0,0,0,0,0,0,0,0,Connecticut Sun
7,DiJonai Carrington ,U,"$69,053 ",OPT,"$78,469 ",RFA,0,0,0,0,0,0,Connecticut Sun
8,Nia Clouden,U,"$67,634 ",U,"$74,398 ",OPT,"$84,543 ",RFA,0,0,0,0,Connecticut Sun
9,Olivia Nelson-Ododa,U,"$64,657 ",U,"$71,124 ",OPT,"$80,823 ",RFA,0,0,0,0,Connecticut Sun
10,Kiara Smith,D,"$62,285 ",U,"$63,532 ",U,"$66,710 ",0,"$76,240 ",RFA,0,0,Connecticut Sun
11,Lauren Cox ,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,Connecticut Sun
12,Nirra Fields,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,Connecticut Sun
13,Mikiah Herbert Harrigan,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,Connecticut Sun
14,Victoria Macaulay,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,Connecticut Sun
15,Bria Hartley ,UFA,0,0,0,0,0,0,0,0,0,0,Connecticut Sun
16,Kianna Smith,Reserved,0,0,0,0,0,0,0,0,0,0,Connecticut Sun
0,Arike Ogunbowale ,V,"$234,936 ",V,"$241,984 ",V,"$249,032 ",UFA,0,0,0,0,Dallas Wings
1,Natasha Howard ,V,"$227,900 ",V,"$234,350 ",UFA,0,0,0,0,0,"2021, 2022, 2023, 2024",Dallas Wings
2,Teaira McCowan ,V,"$190,000 ",V,"$195,700 ",V,"$201,400 ",UFA,0,0,0,0,Dallas Wings
3,Diamond DeShields,V,"$154,500 ",UFA,0,0,0,0,0,0,0,0,Dallas Wings
4,Satou Sabally ,R,"$86,701 ",RFA,0,0,0,0,0,0,0,0,Dallas Wings
5,Crystal Dangerfield ,U,"$80,000 ",U,"$80,000 ",UFA,0,0,0,0,0,0,Dallas Wings
6,Charli Collier ,U,"$78,586 ",OPT,"$89,302 ",RFA,0,0,0,0,0,0,Dallas Wings
7,Awak Kuier ,U,"$78,586 ",R,"$89,302 ",RFA,0,0,0,0,0,0,Dallas Wings
8,Kalani Brown,TC,"$74,305 ",RFA,0,0,0,0,0,0,0,0,Dallas Wings
9,Veronica Burton,U,"$70,609 ",U,"$77,669 ",OPT,"$88,261 ",RFA,0,0,0,0,Dallas Wings
10,Kitija Laksa,U,"$70,000 ",Reserved,0,0,0,0,0,0,0,0,Dallas Wings
11,Jasmine Dickey,U,"$62,285 ",U,"$64,767 ",OPT,"$74,019 ",RFA,0,0,0,0,Dallas Wings
12,Bella Alarie ,Full Susp,0,SuspCE,0,0,0,0,0,0,0,0,Dallas Wings
0,Kelsey Mitchell ,V,"$206,000 ",V,"$212,000 ",UFA,0,0,0,0,0,0.0,Indiana Fever
1,Erica Wheeler ,V,"$202,154 ",V,"$202,154 ",UFA,0,0,0,0,0,0.0,Indiana Fever
2,Victoria Vivians ,V,"$135,000 ",V,"$137,000 ",UFA,0,0,0,0,0,0.0,Indiana Fever
3,Emma Cannon ,V,"$80,000 ",UFA,0,0,0,0,0,0,0,0.0,Indiana Fever
4,Emily Engstler,U,"$73,584 ",U,"$80,943 ",OPT,"$91,981 ",RFA,0,0,0,0.0,Indiana Fever
5,NaLyssa Smith,U,"$73,584 ",U,"$80,943 ",OPT,"$91,981 ",RFA,0,0,0,0.0,Indiana Fever
6,Lexie Hull,U,"$70,609 ",U,"$77,669 ",OPT,"$88,261 ",RFA,0,0,0,0.0,Indiana Fever
7,Maya Caldwell,U,"$68,000 ",Reserved,0,0,0,0,0,0,0,0.0,Indiana Fever
8,Queen Egbo,U,"$67,634 ",U,"$74,398 ",OPT,"$84,543 ",RFA,0,0,0,0.0,Indiana Fever
9,Destanni Henderson,U,"$64,657 ",U,"$71,124 ",OPT,"$80,823 ",RFA,0,0,0,0.0,Indiana Fever
10,Kristy Wallace,U,"$64,657 ",U,"$71,124 ",OPT,"$80,823 ",RFA,0,0,0,0.0,Indiana Fever
11,Rennia Davis ,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0.0,Indiana Fever
12,Bernadett Határ ,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0.0,Indiana Fever
13,Chelsey Perry,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0.0,Indiana Fever
14,Khayla Pointer,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0.0,Indiana Fever
15,Temi Fagbenle,Reserved,0,0,0,0,0,0,0,0,0,0.0,Indiana Fever
16,Jantel Lavender ,Buyout,"$119,000 ",0,0,0,0,0,0,0,0,0.0,Indiana Fever
0,A'ja Wilson ,V,"$202,154 ",UFA,0,0,0,0,0,0,0,0,Las Vegas Aces
1,Kelsey Plum ,V,"$200,000 ",V,"$200,000 ",UFA,0,0,0,0,0,0,Las Vegas Aces
2,Chelsea Gray ,V,"$196,267 ",V,"$196,267 ",UFA,0,0,0,0,0,0,Las Vegas Aces
3,Jackie Young ,V,"$165,000 ",V,"$169,950 ",UFA,0,0,0,0,0,0,Las Vegas Aces
4,Riquna Williams ,U,"$149,350 ",UFA,0,0,0,0,0,0,0,0,Las Vegas Aces
5,Alysha Clark ,V,"$110,000 ",V,"$110,000 ",UFA,0,0,0,0,0,0,Las Vegas Aces
6,Candace Parker,U,"$100,000 ",UFA,0,0,0,0,0,0,0,"2015, 2016, 2017",Las Vegas Aces
7,Kiah Stokes,U,"$81,000 ",UFA,0,0,0,0,0,0,0,0,Las Vegas Aces
8,Sydney Colson,TC,"$74,305 ",UFA,0,0,0,0,0,0,0,0,Las Vegas Aces
9,Cayla George,V,"$74,305 ",RFA,0,0,0,0,0,0,0,0,Las Vegas Aces
10,Kierstan Bell,U,"$67,634 ",U,"$74,398 ",OPT,"$84,543 ",RFA,0,0,0,0,Las Vegas Aces
11,Aisha Sheppard,U,"$64,657 ",U,"$71,124 ",OPT,"$80,823 ",RFA,0,0,0,0,Las Vegas Aces
12,Courtney Range,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,Las Vegas Aces
13,Alexis Peterson,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,Las Vegas Aces
0,Azurá Stevens,V,"$190,000 ",V,"$195,000 ",UFA,0,0,0,0,0,0,Los Angeles Sparks
1,Jasmine Thomas ,V,"$190,000 ",UFA,0,0,0,0,0,0,0,"2019, 2020",Los Angeles Sparks
2,Nneka Ogwumike ,V,"$169,500 ",UFA,0,0,0,0,0,0,0,"2021, 2022",Los Angeles Sparks
3,Dearica Hamby ,V,"$169,000 ",V,"$169,000 ",UFA,0,0,0,0,0,0,Los Angeles Sparks
4,Katie Lou Samuelson ,V,"$130,000 ",UFA,0,0,0,0,0,0,0,0,Los Angeles Sparks
5,Chiney Ogwumike ,U,"$90,000 ",UFA,0,0,0,0,0,0,0,0,Los Angeles Sparks
