,Player,Age,Unnamed: 0,PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,TEAM
0,A'ja Wilson,26,0,A'ja Wilson,V,202154.0,UFA,,0,,0,,0,0,0,Las Vegas Aces
1,Aari McDonald,24,5,Aari McDonald,U,78586.0,R,89302.0,RFA,,0,,0,0,0.0,Atlanta Dream
2,Aerial Powers,29,2,Aerial Powers,V,201984.0,UFA,,0,,0,,0,0,0,Minnesota Lynx
3,Aisha Sheppard,24,11,Aisha Sheppard,U,64657.0,U,71124.0,OPT,80823.0,RFA,,0,0,0,Las Vegas Aces
4,Alanna Smith,26,7,Alanna Smith,U,100000.0,UFA,,0,,0,,0,0,0,Chicago Sky
5,Allie Quigley,36,16,Allie Quigley,UFA,,0,,0,,0,,0,0,2018,Chicago Sky
6,Allisha Gray,28,1,Allisha Gray,V,194600.0,V,185000.0,V,190000.0,UFA,,0,0,0.0,Atlanta Dream
7,Alysha Clark,35,5,Alysha Clark,V,110000.0,V,110000.0,UFA,,0,,0,0,0,Las Vegas Aces
8,Alyssa Thomas,30,1,Alyssa Thomas,V,212000.0,V,218000.0,UFA,,0,,0,0,0,Connecticut Sun
9,Anneli Maley,24,14,Anneli Maley,TC,62285.0,Reserved,,0,,0,,0,0,0,Chicago Sky
10,Ariel Atkins,26,4,Ariel Atkins,V,175000.0,UFA,,0,,0,,0,0,0.0,Washington Mystics
11,Arike Ogunbowale,26,0,Arike Ogunbowale,V,234936.0,V,241984.0,V,249032.0,UFA,,0,0,0,Dallas Wings
12,Awak Kuier,21,7,Awak Kuier,U,78586.0,R,89302.0,RFA,,0,,0,0,0,Dallas Wings
13,Azurá Stevens,27,0,Azurá Stevens,V,190000.0,V,195000.0,UFA,,0,,0,0,0,Los Angeles Sparks
14,Beatrice Mompremier,26,7,Beatrice Mompremier,TC,74305.0,RFA,,0,,0,,0,0,0.0,Atlanta Dream
15,Betnijah Laney,29,1,Betnijah Laney,V,201984.0,UFA,,0,,0,,0,0,0,New York Liberty
16,Breanna Stewart,28,3,Breanna Stewart,V,175000.0,UFA,,0,,0,,0,0,0,New York Liberty
17,Bria Hartley,30,15,Bria Hartley,UFA,,0,,0,,0,,0,0,0,Connecticut Sun
18,Briann January,36,14,Briann January,UFA,,0,,0,,0,,0,0,0,Seattle Storm
19,Brianna Turner,26,4,Brianna Turner,V,150000.0,V,150000.0,UFA,,0,,0,0,0,Phoenix Mercury
20,Bridget Carleton,25,6,Bridget Carleton,V,91000.0,UFA,,0,,0,,0,0,0,Minnesota Lynx
21,Brionna Jones,27,2,Brionna Jones,V,208000.0,UFA,,0,,0,,0,0,2023,Connecticut Sun
22,Brittney Sykes,29,1,Brittney Sykes,V,190000.0,V,190000.0,V,195000.0,UFA,,0,0,0.0,Washington Mystics
23,Candace Parker,36,6,Candace Parker,U,100000.0,UFA,,0,,0,,0,0,"2015, 2016, 2017",Las Vegas Aces
24,Charli Collier,23,6,Charli Collier,U,78586.0,OPT,89302.0,RFA,,0,,0,0,0,Dallas Wings
25,Chelsea Gray,30,2,Chelsea Gray,V,196267.0,V,196267.0,UFA,,0,,0,0,0,Las Vegas Aces
26,Chennedy Carter,24,16,Chennedy Carter,Waived,86701.0,0,,0,,0,,0,0,0,Los Angeles Sparks
27,Cheyenne Parker,30,0,Cheyenne Parker,V,216100.0,V,200000.0,UFA,,0,,0,0,0.0,Atlanta Dream
28,Chiney Ogwumike,31,5,Chiney Ogwumike,U,90000.0,UFA,,0,,0,,0,0,0,Los Angeles Sparks
29,Courtney Vandersloot,34,2,Courtney Vandersloot,V,189000.0,V,194670.0,UFA,,0,,0,0,2019,New York Liberty
30,Courtney Williams,28,3,Courtney Williams,V,160000.0,UFA,,0,,0,,0,0,0,Chicago Sky
31,Crystal Dangerfield,24,5,Crystal Dangerfield,U,80000.0,U,80000.0,UFA,,0,,0,0,0,Dallas Wings
32,Damiris Dantas,30,10,Damiris Dantas,TC,74305.0,UFA,,0,,0,,0,0,0,Minnesota Lynx
33,Dana Evans,24,10,Dana Evans,U,69053.0,OPT,78469.0,RFA,,0,,0,0,0,Chicago Sky
34,Danielle Robinson,33,2,Danielle Robinson,V,155000.0,UFA,,0,,0,,0,0,0.0,Atlanta Dream
35,DeWanna Bonner,35,0,DeWanna Bonner,V,234350.0,UFA,,0,,0,,0,0,"2015, 2016, 2018, 2019",Connecticut Sun
36,Dearica Hamby,29,3,Dearica Hamby,V,169000.0,V,169000.0,UFA,,0,,0,0,0,Los Angeles Sparks
37,Destanni Henderson,24,9,Destanni Henderson,U,64657.0,U,71124.0,OPT,80823.0,RFA,,0,0,0.0,Indiana Fever
38,Destiny Slocum,25,11,Destiny Slocum,TC,62285.0,Reserved,,0,,0,,0,0,0,Phoenix Mercury
39,DiDi Richards,24,10,DiDi Richards,U,69053.0,OPT,78469.0,RFA,,0,,0,0,0,New York Liberty
40,DiJonai Carrington,25,7,DiJonai Carrington,U,69053.0,OPT,78469.0,RFA,,0,,0,0,0,Connecticut Sun
41,Diamond DeShields,28,3,Diamond DeShields,V,154500.0,UFA,,0,,0,,0,0,0,Dallas Wings
42,Diana Taurasi,40,0,Diana Taurasi,V,234936.0,V,234936.0,UFA,,0,,0,0,0,Phoenix Mercury
43,Elena Delle Donne,33,0,Elena Delle Donne,V,234350.0,UFA,,0,,0,,0,0,0.0,Washington Mystics
44,Elizabeth Williams,29,4,Elizabeth Williams,V,135000.0,V,135000.0,UFA,,0,,0,0,0,Chicago Sky
45,Emily Engstler,22,4,Emily Engstler,U,73584.0,U,80943.0,OPT,91981.0,RFA,,0,0,0.0,Indiana Fever
46,Emma Cannon,33,3,Emma Cannon,V,80000.0,UFA,,0,,0,,0,0,0.0,Indiana Fever
47,Emma Meesseman,29,15,Emma Meesseman,UFA,,0,,0,,0,,0,0,0,Chicago Sky
48,Epiphanny Prince,35,8,Epiphanny Prince,TC,74305.0,UFA,,0,,0,,0,0,0,New York Liberty
49,Erica Wheeler,31,1,Erica Wheeler,V,202154.0,V,202154.0,UFA,,0,,0,0,0.0,Indiana Fever
50,Evina Westbrook,24,13,Evina Westbrook,TC,62285.0,Reserved,,0,,0,,0,0,0.0,Washington Mystics
51,Ezi Magbegor,23,2,Ezi Magbegor,V,159650.0,V,155000.0,UFA,,0,,0,0,0,Seattle Storm
52,Gabby Williams,26,16,Gabby Williams,RFA,,0,,0,,0,,0,0,0,Seattle Storm
53,Han Xu,23,12,Han Xu,TC,62285.0,Reserved,,0,,0,,0,0,0,New York Liberty
54,Iliana Rupert,21,9,Iliana Rupert,U,67634.0,U,74398.0,OPT,84543.0,RFA,,0,0,0.0,Atlanta Dream
55,Isabelle Harrison,29,2,Isabelle Harrison,V,160000.0,V,160000.0,UFA,,0,,0,0,0,Chicago Sky
56,Jackie Young,25,3,Jackie Young,V,165000.0,V,169950.0,UFA,,0,,0,0,0,Las Vegas Aces
57,Jantel Lavender,34,16,Jantel Lavender,Buyout,119000.0,0,,0,,0,,0,0,0.0,Indiana Fever
58,Jantel Lavender,34,15,Jantel Lavender,UFA,,0,,0,,0,,0,0,0,Seattle Storm
59,Jasmine Dickey,23,11,Jasmine Dickey,U,62285.0,U,64767.0,OPT,74019.0,RFA,,0,0,0,Dallas Wings
60,Jasmine Thomas,33,1,Jasmine Thomas,V,190000.0,UFA,,0,,0,,0,0,"2019, 2020",Los Angeles Sparks
61,Jasmine Walker,25,7,Jasmine Walker,U,70000.0,Reserved,,0,,0,,0,0,0,Seattle Storm
62,Jazmine Jones,26,11,Jazmine Jones,TC,62285.0,RFA,,0,,0,,0,0,0.0,Washington Mystics
63,Jazmine Jones,26,15,Jazmine Jones,Reserved,,0,,0,,0,,0,0,0.0,Washington Mystics
64,Jennie Simms,28,10,Jennie Simms,TC,62285.0,Reserved,,0,,0,,0,0,0,Phoenix Mercury
65,Jessica Shepard,26,5,Jessica Shepard,U,120000.0,U,123600.0,UFA,,0,,0,0,0,Minnesota Lynx
66,Jewell Loyd,29,0,Jewell Loyd,V,234936.0,UFA,,0,,0,,0,0,"2022, 2023",Seattle Storm
67,Jocelyn Willoughby,25,7,Jocelyn Willoughby,R,79690.0,RFA,,0,,0,,0,0,0,New York Liberty
68,Jonquel Jones,29,0,Jonquel Jones,V,211150.0,UFA,,0,,0,,0,0,"2022, 2023",New York Liberty
69,Jordin Canada,27,7,Jordin Canada,TC,74305.0,UFA,,0,,0,,0,0,0,Los Angeles Sparks
70,Julie Allemand,26,18,Julie Allemand,Full Susp,,SuspCE,,0,,0,,0,0,0,Chicago Sky
71,Kahleah Copper,28,0,Kahleah Copper,V,205000.0,UFA,,0,,0,,0,0,"2022, 2023",Chicago Sky
72,Kaila Charles,25,10,Kaila Charles,TC,62285.0,Reserved,,0,,0,,0,0,0,Seattle Storm
73,Karlie Samuelson,27,10,Karlie Samuelson,TC,74305.0,RFA,,0,,0,,0,0,0,Los Angeles Sparks
74,Katie Lou Samuelson,25,4,Katie Lou Samuelson,V,130000.0,UFA,,0,,0,,0,0,0,Los Angeles Sparks
75,Kayla McBride,30,1,Kayla McBride,V,201984.0,UFA,,0,,0,,0,0,0,Minnesota Lynx
76,Kayla Thornton,30,5,Kayla Thornton,V,109716.0,UFA,,0,,0,,0,0,0,New York Liberty
77,Kelsey Mitchell,27,0,Kelsey Mitchell,V,206000.0,V,212000.0,UFA,,0,,0,0,0.0,Indiana Fever
78,Kelsey Plum,28,1,Kelsey Plum,V,200000.0,V,200000.0,UFA,,0,,0,0,0,Las Vegas Aces
79,Khayla Pointer,24,14,Khayla Pointer,TC,62285.0,Reserved,,0,,0,,0,0,0.0,Indiana Fever
80,Kia Vaughn,36,13,Kia Vaughn,UFA,,0,,0,,0,,0,0,0.0,Atlanta Dream
81,Kiah Stokes,30,7,Kiah Stokes,U,81000.0,UFA,,0,,0,,0,0,0,Las Vegas Aces
82,Kiana Williams,23,13,Kiana Williams,TC,62285.0,Reserved,,0,,0,,0,0,0,Minnesota Lynx
83,Kianna Smith,23,16,Kianna Smith,Reserved,,0,,0,,0,,0,0,0,Connecticut Sun
84,Kierstan Bell,23,10,Kierstan Bell,U,67634.0,U,74398.0,OPT,84543.0,RFA,,0,0,0,Las Vegas Aces
