PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,TEAM

Cheyenne Parker,V,216100,V,200000,UFA,,,,,,,Atlanta Dream

Allisha Gray,V,194600,V,185000,V,190000,UFA,,,,,Atlanta Dream

Danielle Robinson,V,155000,UFA,,,,,,,,,Atlanta Dream

Monique Billings,V,145000,UFA,,,,,,,,,Atlanta Dream

Nia Coffey,V,130000,UFA,,,,,,,,,Atlanta Dream

Aari McDonald,U,78586,R,89302,RFA,,,,,,,Atlanta Dream

Asia Durr (AD),TC,74305,RFA,,,,,,,,,Atlanta Dream

Beatrice Mompremier,TC,74305,RFA,,,,,,,,,Atlanta Dream

Rhyne Howard,U,73584,U,80943,OPT,91981,RFA,,,,,Atlanta Dream

Iliana Rupert,U,67634,U,74398,OPT,84543,RFA,,,,,Atlanta Dream

Naz Hillmon,U,64657,U,71124,OPT,80823,RFA,,,,,Atlanta Dream

Mikayla Pivec,TC,62285,Reserved,,,,,,,,,Atlanta Dream

Lorela Cubaj,TC,62285,Reserved,,,,,,,,,Atlanta Dream

Kia Vaughn,UFA,,,,,,,,,,,Atlanta Dream

Maite Cazorla,SuspCE,,,,,,,,,,,Atlanta Dream

Cap Room,,295339,,762433,,1059753,,1552300,,1598800,,Atlanta Dream

2023 Round 1 Pick 6 (6) (NYL),U,71300,U,72727,U,79999,OPT,90908,RFA,,,Atlanta Dream

2023 Round 1 Pick 8 (8) (WAS),U,71300,U,72727,U,79999,OPT,90908,RFA,,,Atlanta Dream

2023 Round 2 Pick 3 (15) (ATL),U,65290,U,66597,U,73258,OPT,83248,RFA,,,Atlanta Dream

2024 Round 1 Pick ? (?) (ATL),,,U,0,U,0,U,0,OPT,0,,Atlanta Dream

2024 Round 2 Pick ? (?) (ATL),,,U,67249,U,68595,U,75456,OPT,85745,,Atlanta Dream

2024 Round 3 Pick ? (?) (ATL),,,U,64154,U,65438,U,68711,OPT,78527,,Atlanta Dream

2025 Round 2 Pick ? (?) (ATL),,,,,U,69267,U,70653,U,77720,,Atlanta Dream

2025 Round 3 Pick ? (?) (ATL),,,,,U,66079,U,67401,U,70773,,Atlanta Dream

Kahleah Copper,V,205000,UFA,,,,,,,,"2022, 2023",Chicago Sky

Marina Mabrey,V,202000,V,208000,V,210000,UFA,,,,,Chicago Sky

Isabelle Harrison,V,160000,V,160000,UFA,,,,,,,Chicago Sky

Courtney Williams,V,160000,UFA,,,,,,,,,Chicago Sky

Elizabeth Williams,V,135000,V,135000,UFA,,,,,,,Chicago Sky

Astou Ndour-Fall,U,115000,UFA,,,,,,,,,Chicago Sky

Rebekah Gardner,U,100000,Reserved,,,,,,,,,Chicago Sky

Alanna Smith,U,100000,UFA,,,,,,,,,Chicago Sky

Ruthy Hebard,R,83194,RFA,,,,,,,,,Chicago Sky

Kristine Anigwe,TC,74305,UFA,,,,,,,,,Chicago Sky

Dana Evans,U,69053,OPT,78469,RFA,,,,,,,Chicago Sky

Li Yueru,U,62285,U,64767,OPT,74019,RFA,,,,,Chicago Sky

Robyn Parks,TC,62285,Reserved,,,,,,,,,Chicago Sky

Feyonda Fitzgerald,TC,62285,Reserved,,,,,,,,,Chicago Sky

Anneli Maley,TC,62285,Reserved,,,,,,,,,Chicago Sky

Emma Meesseman,UFA,,,,,,,,,,,Chicago Sky

Allie Quigley,UFA,,,,,,,,,,2018,Chicago Sky

Maria Conde,SuspCE,,,,,,,,,,,Chicago Sky

Julie Allemand,Full Susp,,SuspCE,,,,,,,,,Chicago Sky

Cap Room,,28968,,816964,,1223081,,1552300,,1598800,,Chicago Sky

2023 Round 2 Pick 11 (23) (CHI),U,65290,U,66597,U,73258,OPT,83248,RFA,,,Chicago Sky

2023 Round 3 Pick 11 (35) (CHI),U,62285,U,63532,U,66710,OPT,76240,RFA,,,Chicago Sky

2024 Round 2 Pick ? (?) (PHO),,,U,67249,U,68595,U,75456,OPT,85745,,Chicago Sky

2025 Round 1 Pick ? (?) (CHI),,,,,U,0,U,0,U,0,,Chicago Sky

2025 Round 3 Pick ? (?) (CHI),,,,,U,66079,U,67401,U,70773,,Chicago Sky

DeWanna Bonner,V,234350,UFA,,,,,,,,"2015, 2016, 2018, 2019",Connecticut Sun

Alyssa Thomas,V,212000,V,218000,UFA,,,,,,,Connecticut Sun

Brionna Jones,V,208000,UFA,,,,,,,,2023,Connecticut Sun

Tiffany Hayes,U,162477,UFA,,,,,,,,,Connecticut Sun

Rebecca Allen,V,136850,UFA,,,,,,,,,Connecticut Sun

Natisha Hiedeman,U,120000,U,120000,UFA,,,,,,,Connecticut Sun

Tyasha Harris,R,83194,RFA,,,,,,,,,Connecticut Sun

DiJonai Carrington,U,69053,OPT,78469,RFA,,,,,,,Connecticut Sun

Nia Clouden,U,67634,U,74398,OPT,84543,RFA,,,,,Connecticut Sun

Olivia Nelson-Ododa,U,64657,U,71124,OPT,80823,RFA,,,,,Connecticut Sun

Kiara Smith,D,62285,U,63532,U,66710,,76240,RFA,,,Connecticut Sun

Lauren Cox,TC,62285,Reserved,,,,,,,,,Connecticut Sun

Nirra Fields,TC,62285,Reserved,,,,,,,,,Connecticut Sun

Mikiah Herbert Harrigan,TC,62285,Reserved,,,,,,,,,Connecticut Sun

Victoria Macaulay,TC,62285,Reserved,,,,,,,,,Connecticut Sun

Bria Hartley,UFA,,,,,,,,,,,Connecticut Sun

Kianna Smith,Reserved,,,,,,,,,,,Connecticut Sun

Cap Room,,62285,,837677,,1275024,,1476060,,1598800,,Connecticut Sun

2023 Round 2 Pick 10 (22) (CON),U,65290,U,66597,U,73258,OPT,83248,RFA,,,Connecticut Sun

2023 Round 3 Pick 10 (34) (CON),U,62285,U,63532,U,66710,OPT,76240,RFA,,,Connecticut Sun

2024 Round 1 Pick ? (?) (CON),,,U,0,U,0,U,0,OPT,0,,Connecticut Sun

2024 Round 2 Pick ? (?) (CON),,,U,67249,U,68595,U,75456,OPT,85745,,Connecticut Sun

2024 Round 3 Pick ? (?) (CON),,,U,64154,U,65438,U,68711,OPT,78527,,Connecticut Sun

2025 Round 1 Pick ? (?) (CON),,,,,U,0,U,0,U,0,,Connecticut Sun

2025 Round 2 Pick ? (?) (CON),,,,,U,69267,U,70653,U,77720,,Connecticut Sun

2025 Round 3 Pick ? (?) (CON),,,,,U,66079,U,67401,U,70773,,Connecticut Sun

Arike Ogunbowale,V,234936,V,241984,V,249032,UFA,,,,,Dallas Wings

Natasha Howard,V,227900,V,234350,UFA,,,,,,"2021, 2022, 2023, 2024",Dallas Wings

Teaira McCowan,V,190000,V,195700,V,201400,UFA,,,,,Dallas Wings

Diamond DeShields,V,154500,UFA,,,,,,,,,Dallas Wings

Satou Sabally,R,86701,RFA,,,,,,,,,Dallas Wings

Crystal Dangerfield,U,80000,U,80000,UFA,,,,,,,Dallas Wings

Charli Collier,U,78586,OPT,89302,RFA,,,,,,,Dallas Wings

Awak Kuier,U,78586,R,89302,RFA,,,,,,,Dallas Wings

Kalani Brown,TC,74305,RFA,,,,,,,,,Dallas Wings

Veronica Burton,U,70609,U,77669,OPT,88261,RFA,,,,,Dallas Wings

Kitija Laksa,U,70000,Reserved,,,,,,,,,Dallas Wings

Jasmine Dickey,U,62285,U,64767,OPT,74019,RFA,,,,,Dallas Wings

Bella Alarie,Full Susp,,SuspCE,,,,,,,,,Dallas Wings

Cap Room,,86397,,390126,,894388,,1552300,,1598800,,Dallas Wings

2023 Round 1 Pick 11 (11) (CHI),U,68295,U,69663,UFA,76630,OPT,87080,RFA,,,Dallas Wings

2023 Round 1 Pick 3 (3) (ATL),U,74305,U,75792,UFA,83371,OPT,94740,RFA,,,Dallas Wings

2023 Round 1 Pick 5 (5) (PHO),U,71300,U,72727,UFA,79999,OPT,90908,RFA,,,Dallas Wings

2023 Round 2 Pick 7 (19) (DAL),U,65290,U,66597,UFA,73258,OPT,83248,RFA,,,Dallas Wings

2023 Round 3 Pick 7 (31) (DAL),U,62285,U,63532,UFA,66710,OPT,76240,RFA,,,Dallas Wings

2024 Round 1 Pick ? (?) (CHI),,,U,0,UFA,0,U,0,OPT,0,,Dallas Wings

2024 Round 1 Pick ? (?) (DAL),,,U,0,UFA,0,U,0,OPT,0,,Dallas Wings

2024 Round 2 Pick ? (?) (DAL),,,U,67249,UFA,68595,U,75456,OPT,85745,,Dallas Wings

2024 Round 3 Pick ? (?) (DAL),,,U,64154,UFA,65438,U,68711,OPT,78527,,Dallas Wings

2025 Round 1 Pick ? (?) (ATL),,,,,UFA,0,U,0,U,0,,Dallas Wings

2025 Round 1 Pick ? (?) (DAL),,,,,UFA,0,U,0,U,0,,Dallas Wings

2025 Round 2 Pick ? (?) (DAL),,,,,UFA,69267,U,70653,U,77720,,Dallas Wings

2025 Round 3 Pick ? (?) (DAL),,,,,UFA,66079,U,67401,U,70773,,Dallas Wings

Kelsey Mitchell,V,206000,V,212000,UFA,,,,,,,Indiana Fever

Erica Wheeler,V,202154,V,202154,UFA,,,,,,,Indiana Fever

Victoria Vivians,V,135000,V,137000,UFA,,,,,,,Indiana Fever

Emma Cannon,V,80000,UFA,,,,,,,,,Indiana Fever

Emily Engstler,U,73584,U,80943,OPT,91981,RFA,,,,,Indiana Fever

NaLyssa Smith,U,73584,U,80943,OPT,91981,RFA,,,,,Indiana Fever

Lexie Hull,U,70609,U,77669,OPT,88261,RFA,,,,,Indiana Fever

Maya Caldwell,U,68000,Reserved,,,,,,,,,Indiana Fever

Queen Egbo,U,67634,U,74398,OPT,84543,RFA,,,,,Indiana Fever

Destanni Henderson,U,64657,U,71124,OPT,80823,RFA,,,,,Indiana Fever

Kristy Wallace,U,64657,U,71124,OPT,80823,RFA,,,,,Indiana Fever

Rennia Davis,TC,62285,Reserved,,,,,,,,,Indiana Fever

Bernadett Határ,TC,62285,Reserved,,,,,,,,,Indiana Fever

Chelsey Perry,TC,62285,Reserved,,,,,,,,,Indiana Fever

Khayla Pointer,TC,62285,Reserved,,,,,,,,,Indiana Fever

Temi Fagbenle,Reserved,,,,,,,,,,,Indiana Fever

Jantel Lavender,Buyout,119000,,,,,,,,,,Indiana Fever

Cap Room,,195621,,455845,,988688,,1552300,,1598800,,Indiana Fever

2023 Round 1 Pick 1 (1) (IND),U,74305,U,75792,U,83371,OPT,94740,RFA,,,Indiana Fever

2023 Round 1 Pick 7 (7) (DAL),U,71300,U,72727,U,79999,OPT,90908,RFA,,,Indiana Fever

2023 Round 2 Pick 1 (13) (IND),U,65290,U,66597,U,73258,OPT,83248,RFA,,,Indiana Fever

2023 Round 2 Pick 5 (17) (PHO),U,65290,U,66597,U,73258,OPT,83248,RFA,,,Indiana Fever

2023 Round 3 Pick 1 (25) (IND),U,62285,U,63532,U,66710,OPT,76240,RFA,,,Indiana Fever

2024 Round 1 Pick ? (?) (IND),,,U,0,U,0,U,0,OPT,0,,Indiana Fever

2024 Round 2 Pick ? (?) (IND),,,U,67249,U,68595,U,75456,OPT,85745,,Indiana Fever

2024 Round 3 Pick ? (?) (IND),,,U,64154,U,65438,U,68711,OPT,78527,,Indiana Fever

2025 Round 1 Pick ? (?) (IND),,,,,U,0,U,0,U,0,,Indiana Fever

2025 Round 2 Pick ? (?) (IND),,,,,U,69267,U,70653,U,77720,,Indiana Fever

2025 Round 3 Pick ? (?) (IND),,,,,U,66079,U,67401,U,70773,,Indiana Fever

A'ja Wilson,V,202154,UFA,,,,,,,,,Las Vegas Aces

Kelsey Plum,V,200000,V,200000,UFA,,,,,,,Las Vegas Aces

Chelsea Gray,V,196267,V,196267,UFA,,,,,,,Las Vegas Aces

Jackie Young,V,165000,V,169950,UFA,,,,,,,Las Vegas Aces

Riquna Williams,U,149350,UFA,,,,,,,,,Las Vegas Aces

Alysha Clark,V,110000,V,110000,UFA,,,,,,,Las Vegas Aces

Candace Parker,U,100000,UFA,,,,,,,,"2015, 2016, 2017",Las Vegas Aces

Kiah Stokes,U,81000,UFA,,,,,,,,,Las Vegas Aces

Sydney Colson,TC,74305,UFA,,,,,,,,,Las Vegas Aces

Cayla George,V,74305,RFA,,,,,,,,,Las Vegas Aces

Kierstan Bell,U,67634,U,74398,OPT,84543,RFA,,,,,Las Vegas Aces

Aisha Sheppard,U,64657,U,71124,OPT,80823,RFA,,,,,Las Vegas Aces

Courtney Range,TC,62285,Reserved,,,,,,,,,Las Vegas Aces

Alexis Peterson,TC,62285,Reserved,,,,,,,,,Las Vegas Aces

Cap Room,,10133,,641461,,1341734,,1552300,,1598800,,Las Vegas Aces

2023 Round 3 Pick 12 (36) (LVA),U,62285,U,63532,U,66710,OPT,76240,RFA,,,Las Vegas Aces

2024 Round 2 Pick ? (?) (LAS),,,U,67249,U,68595,U,75456,OPT,85745,,Las Vegas Aces

2024 Round 2 Pick ? (?) (LVA),,,U,67249,U,68595,U,75456,OPT,85745,,Las Vegas Aces

