PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,
Cheyenne Parker ,V,"$216,100 ",V,"$200,000 ",UFA,,,,,,,
Allisha Gray ,V,"$194,600 ",V,"$185,000 ",V,"$190,000 ",UFA,,,,,
Danielle Robinson ,V,"$155,000 ",UFA,,,,,,,,,
Monique Billings ,V,"$145,000 ",UFA,,,,,,,,,
Nia Coffey ,V,"$130,000 ",UFA,,,,,,,,,
Aari McDonald ,U,"$78,586 ",R,"$89,302 ",RFA,,,,,,,
Asia Durr (AD),TC,"$74,305 ",RFA,,,,,,,,,
Beatrice Mompremier ,TC,"$74,305 ",RFA,,,,,,,,,
Rhyne Howard,U,"$73,584 ",U,"$80,943 ",OPT,"$91,981 ",RFA,,,,,
Iliana Rupert,U,"$67,634 ",U,"$74,398 ",OPT,"$84,543 ",RFA,,,,,
Naz Hillmon,U,"$64,657 ",U,"$71,124 ",OPT,"$80,823 ",RFA,,,,,
Mikayla Pivec,TC,"$62,285 ",Reserved,,,,,,,,,
Lorela Cubaj,TC,"$62,285 ",Reserved,,,,,,,,,
Kia Vaughn ,UFA,,,,,,,,,,,
Maite Cazorla,SuspCE,,,,,,,,,,,
Total Salaries (excl. TC),,"$1,125,161 ",,"$700,767 ",,"$447,347 ",,$0 ,,$0 ,,
Total Players (excl. TC),,9 ,,6 ,,4 ,,0 ,,0 ,,
Cap Room,,"$295,339 ",,"$762,433 ",,"$1,059,753 ",,"$1,552,300 ",,"$1,598,800 ",,
Open Roster Slots,,2 to 3 ,,5 to 6 ,,7 to 8 ,,,,,,
Above/Below Minimum,,"-$63,829 ",,"-$523,863 ",,"-$814,093 ",,"-$1,299,240 ",,"-$1,338,210 ",,
Total Guaranteed Salary,,"$840,700 ",,"$474,302 ",,"$190,000 ",,$0 ,,$0 ,,
Total Protected Veterans,,5 ,,2 ,,1 ,,0 ,,0 ,,
Open Protected Veteran Slots,,1 ,,4 ,,5 ,,6 ,,6,,
Core Player,Available ,,Available ,,Available ,,Available ,,Available,,,
2023 Round 1 Pick 6 (6) (NYL),U,"$71,300 ",U,"$72,727 ",U,"$79,999 ",OPT,"$90,908 ",RFA,,,
2023 Round 1 Pick 8 (8) (WAS),U,"$71,300 ",U,"$72,727 ",U,"$79,999 ",OPT,"$90,908 ",RFA,,,
2023 Round 2 Pick 3 (15) (ATL),U,"$65,290 ",U,"$66,597 ",U,"$73,258 ",OPT,"$83,248 ",RFA,,,
2024 Round 1 Pick ? (?) (ATL),,,U,"$??,???",U,"$??,???",U,"$??,???",OPT,"$??,???",,
2024 Round 2 Pick ? (?) (ATL),,,U,"$67,249 ",U,"$68,595 ",U,"$75,456 ",OPT,"$85,745 ",,
2024 Round 3 Pick ? (?) (ATL),,,U,"$64,154 ",U,"$65,438 ",U,"$68,711 ",OPT,"$78,527 ",,
2025 Round 2 Pick ? (?) (ATL),,,,,U,"$69,267 ",U,"$70,653 ",U,"$77,720 ",,
2025 Round 3 Pick ? (?) (ATL),,,,,U,"$66,079 ",U,"$67,401 ",U,"$70,773 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
