PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,
Kahleah Copper,V,"$205,000 ",UFA,,,,,,,,"2022, 2023",
Marina Mabrey ,V,"$202,000 ",V,"$208,000 ",V,"$210,000 ",UFA,,,,,
Isabelle Harrison ,V,"$160,000 ",V,"$160,000 ",UFA,,,,,,,
Courtney Williams ,V,"$160,000 ",UFA,,,,,,,,,
Elizabeth Williams ,V,"$135,000 ",V,"$135,000 ",UFA,,,,,,,
Astou Ndour-Fall,U,"$115,000 ",UFA,,,,,,,,,
Rebekah Gardner,U,"$100,000 ",Reserved,,,,,,,,,
Alanna Smith ,U,"$100,000 ",UFA,,,,,,,,,
Ruthy Hebard,R,"$83,194 ",RFA,,,,,,,,,
Kristine Anigwe ,TC,"$74,305 ",UFA,,,,,,,,,
Dana Evans,U,"$69,053 ",OPT,"$78,469 ",RFA,,,,,,,
Li Yueru,U,"$62,285 ",U,"$64,767 ",OPT,"$74,019 ",RFA,,,,,
Robyn Parks,TC,"$62,285 ",Reserved,,,,,,,,,
Feyonda Fitzgerald,TC,"$62,285 ",Reserved,,,,,,,,,
Anneli Maley,TC,"$62,285 ",Reserved,,,,,,,,,
Emma Meesseman,UFA,,,,,,,,,,,
Allie Quigley,UFA,,,,,,,,,,2018,
Maria Conde,SuspCE,,,,,,,,,,,
Julie Allemand,Full Susp,,SuspCE,,,,,,,,,
Total Salaries (excl. TC),,"$1,391,532 ",,"$646,236 ",,"$284,019 ",,$0 ,,$0 ,,
Total Players (excl. TC),,11 ,,5 ,,2 ,,0 ,,0 ,,
Cap Room,,"$28,968 ",,"$816,964 ",,"$1,223,081 ",,"$1,552,300 ",,"$1,598,800 ",,
Open Roster Slots,,0 to 1 ,,6 to 7 ,,9 to 10 ,,,,,,
Above/Below Minimum,,"$202,542 ",,"-$578,394 ",,"-$977,421 ",,"-$1,299,240 ",,"-$1,338,210 ",,
Total Guaranteed Salary,,"$945,194 ",,"$503,000 ",,"$210,000 ",,$0 ,,$0 ,,
Total Protected Veterans,,5 ,,3 ,,1 ,,0 ,,0 ,,
Open Protected Veteran Slots,,1 ,,3 ,,5 ,,6 ,,6 ,,
Core Player,K. Copper ,,Available ,,Available ,,Available ,,Available,,,
2023 Round 2 Pick 11 (23) (CHI),U,"$65,290 ",U,"$66,597 ",U,"$73,258 ",OPT,"$83,248 ",RFA,,,
2023 Round 3 Pick 11 (35) (CHI),U,"$62,285 ",U,"$63,532 ",U,"$66,710 ",OPT,"$76,240 ",RFA,,,
2024 Round 2 Pick ? (?) (PHO),,,U,"$67,249 ",U,"$68,595 ",U,"$75,456 ",OPT,"$85,745 ",,
2025 Round 1 Pick ? (?) (CHI),,,,,U,"$??,???",U,"$??,???",U,"$??,???",,
2025 Round 3 Pick ? (?) (CHI),,,,,U,"$66,079 ",U,"$67,401 ",U,"$70,773 ",,
