PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,
Kelsey Mitchell ,V,"$206,000 ",V,"$212,000 ",UFA,,,,,,,
Erica Wheeler ,V,"$202,154 ",V,"$202,154 ",UFA,,,,,,,
Victoria Vivians ,V,"$135,000 ",V,"$137,000 ",UFA,,,,,,,
Emma Cannon ,V,"$80,000 ",UFA,,,,,,,,,
Emily Engstler,U,"$73,584 ",U,"$80,943 ",OPT,"$91,981 ",RFA,,,,,
NaLyssa Smith,U,"$73,584 ",U,"$80,943 ",OPT,"$91,981 ",RFA,,,,,
Lexie Hull,U,"$70,609 ",U,"$77,669 ",OPT,"$88,261 ",RFA,,,,,
Maya Caldwell,U,"$68,000 ",Reserved,,,,,,,,,
Queen Egbo,U,"$67,634 ",U,"$74,398 ",OPT,"$84,543 ",RFA,,,,,
Destanni Henderson,U,"$64,657 ",U,"$71,124 ",OPT,"$80,823 ",RFA,,,,,
Kristy Wallace,U,"$64,657 ",U,"$71,124 ",OPT,"$80,823 ",RFA,,,,,
Rennia Davis ,TC,"$62,285 ",Reserved,,,,,,,,,
Bernadett Határ ,TC,"$62,285 ",Reserved,,,,,,,,,
Chelsey Perry,TC,"$62,285 ",Reserved,,,,,,,,,
Khayla Pointer,TC,"$62,285 ",Reserved,,,,,,,,,
Temi Fagbenle,Reserved,,,,,,,,,,,
Jantel Lavender ,Buyout,"$119,000 ",,,,,,,,,,
Total Salaries (excl. TC),,"$1,224,879 ",,"$1,007,355 ",,"$518,412 ",,$0 ,,,,
Total Players (excl. TC),,11 ,,9 ,,6 ,,0 ,,0,,
Cap Room,,"$195,621 ",,"$455,845 ",,"$988,688 ",,"$1,552,300 ",,"$1,598,800 ",,
Open Roster Slots,,0 to 1 ,,2 to 3 ,,5 to 6 ,,,,,,
Above/Below Minimum,,"$35,889 ",,"-$217,275 ",,"-$743,028 ",,"-$1,299,240 ",,"-$1,338,210 ",,
Total Guaranteed Salary,,"$742,154 ",,"$551,154 ",,$0 ,,$0 ,,$0 ,,
Total Protected Veterans,,5 ,,3 ,,0 ,,0 ,,0 ,,
Open Protected Veteran Slots,,1 ,,3 ,,6 ,,6 ,,6 ,,
Core Player,Available ,,Available ,,Available ,,Available ,,Available ,,,
2023 Round 1 Pick 1 (1) (IND),U,"$74,305 ",U,"$75,792 ",U,"$83,371 ",OPT,"$94,740 ",RFA,,,
2023 Round 1 Pick 7 (7) (DAL),U,"$71,300 ",U,"$72,727 ",U,"$79,999 ",OPT,"$90,908 ",RFA,,,
2023 Round 2 Pick 1 (13) (IND),U,"$65,290 ",U,"$66,597 ",U,"$73,258 ",OPT,"$83,248 ",RFA,,,
2023 Round 2 Pick 5 (17) (PHO),U,"$65,290 ",U,"$66,597 ",U,"$73,258 ",OPT,"$83,248 ",RFA,,,
2023 Round 3 Pick 1 (25) (IND),U,"$62,285 ",U,"$63,532 ",U,"$66,710 ",OPT,"$76,240 ",RFA,,,
2024 Round 1 Pick ? (?) (IND),,,U,"$??,??? ",U,"$??,??? ",U,"$??,??? ",OPT,"$??,???",,
2024 Round 2 Pick ? (?) (IND),,,U,"$67,249 ",U,"$68,595 ",U,"$75,456 ",OPT,"$85,745 ",,
2024 Round 3 Pick ? (?) (IND),,,U,"$64,154 ",U,"$65,438 ",U,"$68,711 ",OPT,"$78,527 ",,
2025 Round 1 Pick ? (?) (IND),,,,,U,"$??,??? ",U,"$??,??? ",U,"$??,??? ",,
2025 Round 2 Pick ? (?) (IND),,,,,U,"$69,267 ",U,"$70,653 ",U,"$77,720 ",,
2025 Round 3 Pick ? (?) (IND),,,,,U,"$66,079 ",U,"$67,401 ",U,"$70,773 ",,
