PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,,
Napheesa Collier ,U,"$202,154 ",U,"$208,219 ",U,"$214,284 ",UFA,,,,,,
Kayla McBride ,V,"$201,984 ",UFA,,,,,,,,,,
Aerial Powers ,V,"$201,984 ",UFA,,,,,,,,,,
Natalie Achonwa ,V,"$155,100 ",UFA,,,,,,,,,,
Tiffany Mitchell ,V,"$135,000 ",V,"$139,050 ",UFA,,,,,,,,
Jessica Shepard ,U,"$120,000 ",U,"$123,600 ",UFA,,,,,,,,
Bridget Carleton ,V,"$91,000 ",UFA,,,,,,,,,,
Nikolina Milić,U,"$90,000 ",Reserved,,,,,,,,,,
Lindsay Allen ,TC,"$74,305 ",UFA,,,,,,,,,,
Rachel Banham ,TC,"$74,305 ",UFA,,,,,,,,,,
Damiris Dantas ,TC,"$74,305 ",UFA,,,,,,,,,,
Maya Dodson,TC,"$62,285 ",Reserved,,,,,,,,,,
Stephanie Watts,TC,"$62,285 ",Reserved,,,,,,,,,,
Kiana Williams ,TC,"$62,285 ",Reserved,,,,,,,,,,
Sylvia Fowles ,UFA,,,,,,,,,,"2015, 2016, 2017",,
Anna Cruz,Reserved,,,,,,,,,,,,
Cecilia Zandalasini,SuspCE,,,,,,,,,,,,
Total Salaries (excl. TC),,"$1,197,222 ",,"$470,869 ",,"$214,284 ",,$0 ,,$0 ,,,
Total Players (excl. TC),,8 ,,3 ,,1 ,,0 ,,0 ,,,
Cap Room,,"$223,278 ",,"$992,331 ",,"$1,292,816 ",,"$1,552,300 ",,"$1,598,800 ",,,
Open Roster Slots,,3 to 4 ,8 to 9 ,10 to 11 ,,,,,,,,,
Above/Below Minimum,,"$8,232 ",,"-$753,761 ",,"-$1,047,156 ",,"-$1,299,240 ",,"-$1,338,210 ",,,
otal Guaranteed Salary,,"$785,068 ",,"$139,050 ",,$0 ,,$0 ,,$0 ,,,
Total Protected Veterans,,5 ,,1 ,,0 ,,0 ,,0,,,
Open Protected Veteran Slots,,1 ,,5 ,,6 ,,6 ,,6,,,
Core Player,Available ,,Available ,,Available ,,Available ,,Available,,,,
2023 Round 1 Pick 12 (12) (LVA),U,"$68,295 ",U,"$69,663 ",U,"$76,630 ",OPT,"$87,080 ",RFA,,,,
2023 Round 1 Pick 2 (2) (MIN),U,"$74,305 ",U,"$75,792 ",U,"$83,371 ",OPT,"$94,740 ",RFA,,,,
2023 Round 2 Pick 12 (24) (LVA),U,"$65,290 ",U,"$66,597 ",U,"$73,258 ",OPT,"$83,248 ",RFA,,,,
2023 Round 2 Pick 4 (16) (MIN),U,"$65,290 ",U,"$66,597 ",U,"$73,258 ",OPT,"$83,248 ",RFA,,,,
2023 Round 3 Pick 4 (28) (MIN),U,"$62,285 ",U,"$63,532 ",U,"$66,710 ",OPT,"$76,240 ",RFA,,,,
2024 Round 1 Pick ? (?) (MIN),,,U,"$??,??? ",U,"$??,??? ",U,"$??,??? ",OPT,"$??,??? ",,,
2024 Round 2 Pick ? (?) (MIN),,,U,"$67,249 ",U,"$68,595 ",U,"$75,456 ",OPT,"$85,745 ",,,
2024 Round 3 Pick ? (?) (MIN),,,U,"$64,154 ",U,"$65,438 ",U,"$68,711 ",OPT,"$78,527 ",,,
2025 Round 1 Pick ? (?) (MIN),,,,,U,"$??,??? ",U,"$??,??? ",U,"$??,???",,,
2025 Round 2 Pick ? (?) (MIN),,,,,U,"$69,267 ",U,"$70,653 ",U,"$77,720 ",,,
2025 Round 3 Pick ? (?) (MIN),,,,,U,"$66,079 ",U,"$67,401 ",U,"$70,773 ",,,
,,,,,,,,,,,,,
