PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,
Jonquel Jones,V,"$211,150 ",UFA,,,,,,,,"2022, 2023",
Betnijah Laney ,V,"$201,984 ",UFA,,,,,,,,,
Courtney Vandersloot,V,"$189,000 ",V,"$194,670 ",UFA,,,,,,2019,
Breanna Stewart ,V,"$175,000 ",UFA,,,,,,,,,
Stefanie Dolson,V,"$160,000 ",UFA,,,,,,,,,
Kayla Thornton ,V,"$109,716 ",UFA,,,,,,,,,
Sabrina Ionescu ,R,"$86,701 ",RFA,,,,,,,,,
Jocelyn Willoughby ,R,"$79,690 ",RFA,,,,,,,,,
Epiphanny Prince ,TC,"$74,305 ",UFA,,,,,,,,,
Nyara Sabally,D,"$71,300 ",U,"$72,727 ",U,"$79,999 ",OPT,"$90,908 ",RFA,,,
DiDi Richards ,U,"$69,053 ",OPT,"$78,469 ",RFA,,,,,,,
Sika Koné,D,"$62,285 ",U,"$63,532 ",U,"$66,710 ",OPT,"$76,240 ",RFA,,,
Han Xu,TC,"$62,285 ",Reserved,,,,,,,,,
Morgan Green,TC,"$62,285 ",Reserved,,,,,,,,,
Stephanie Mawuli,TC,"$62,285 ",Reserved,,,,,,,,,
Marine Johannès,TC,"$62,285 ",Reserved,,,,,,,,,
Total Salaries (excl. TC & D),,"$1,282,294 ",,"$409,398 ",,"$146,709 ",,"$167,148 ",,$0 ,,
Total Players (excl. TC & D),,9 ,,4 ,,2 ,,2 ,,0,,
Cap Room,,"$138,206 ",,"$1,053,802 ",,"$1,360,391 ",,"$1,385,152 ",,"$1,598,800 ",,
Open Roster Slots,,2 to 3 ,,7 to 8 ,,9 to 10 ,,9 to 10 ,,,,
Above/Below Minimum,,"$93,304 ",,"-$815,232 ",,"-$1,114,731 ",,"-$1,132,092 ",,"-$1,338,210 ",,
Total Guaranteed Salary,,"$1,213,241 ",,"$194,670 ",,$0 ,,$0 ,,$0 ,,
Total Protected Veterans,,6 ,,1 ,,0 ,,0 ,,0,,
Open Protected Veteran Slots,,0 ,,5 ,,6 ,,6 ,,6 ,,
Core Player,Available ,,Available ,,Available ,,Available ,,Available ,,,
2023 Round 3 Pick 6 (30) (NYL),U,"$62,285 ",U,"$63,532 ",U,"$66,710 ",OPT,"$76,240 ",RFA,,,
2024 Round 1 Pick ? (?) (NYL),,,U,"$??,??? ",U,"$??,??? ",U,"$??,??? ",OPT,"$??,???",,
2024 Round 2 Pick ? (?) (CHI),,,U,"$67,249 ",U,"$68,595 ",U,"$75,456 ",OPT,"$85,745 ",,
2024 Round 2 Pick ? (?) (NYL),,,U,"$67,249 ",U,"$68,595 ",U,"$75,456 ",OPT,"$85,745 ",,
2024 Round 3 Pick ? (?) (NYL),,,U,"$64,154 ",U,"$65,438 ",U,"$68,711 ",OPT,"$78,527 ",,
2025 Round 1 Pick ? (?) (NYL),,,,,U,"$??,??? ",U,"$??,??? ",U,"$??,??? ",,
2025 Round 2 Pick ? (?) (NYL),,,,,U,"$69,267 ",U,"$70,653 ",U,"$77,720 ",,
2025 Round 3 Pick ? (?) (NYL),,,,,U,"$66,079 ",U,"$67,401 ",U,"$70,773 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
