PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,
Diana Taurasi ,V,"$234,936 ",V,"$234,936 ",UFA,,,,,,,
Skylar Diggins-Smith ,V,"$234,350 ",UFA,,,,,,,,"2020, 2021, 2022, 2023",
Brittney Griner ,V,"$165,100 ",UFA,,,,,,,,"2020, 2021, 2022",
Sophie Cunningham ,V,"$150,000 ",V,"$154,500 ",UFA,,,,,,,
Brianna Turner ,V,"$150,000 ",V,"$150,000 ",UFA,,,,,,,
Moriah Jefferson ,V,"$137,500 ",V,"$141,500 ",V,"$145,500 ",UFA,,,,,
Michaela Onyenwere ,U,"$75,407 ",OPT,"$85,690 ",RFA,,,,,,,
Megan Gustafson,TC,"$74,305 ",UFA,,,,,,,,,
Shey Peddy ,TC,"$74,305 ",UFA,,,,,,,,,
Sydney Wiese ,TC,"$74,305 ",UFA,,,,,,,,,
Jennie Simms,TC,"$62,285 ",Reserved,,,,,,,,,
Destiny Slocum ,TC,"$62,285 ",Reserved,,,,,,,,,
Sug Sutton,TC,"$62,285 ",Reserved,,,,,,,,,
Sam Thomas,TC,"$62,285 ",Reserved,,,,,,,,,
Total Salaries (excl. TC),,"$1,147,293 ",,"$766,626 ",,"$145,500 ",,$0 ,,$0 ,,
Total Players (excl. TC),,7 ,,5 ,,1 ,,0 ,,0,,
Cap Room,,"$273,207 ",,"$696,574 ",,"$1,361,600 ",,"$1,552,300 ",,"$1,598,800 ",,
Open Roster Slots,,4 to 5 ,,6 to 7 ,,10 to 11 ,,,,,,
Above/Below Minimum,,"-$41,697 ",,"-$458,004 ",,"-$1,115,940 ",,"-$1,299,240 ",,"-$1,338,210 ",,
Total Guaranteed Salary,,"$1,071,886 ",,"$680,936 ",,"$145,500 ",,$0 ,,$0 ,,
Total Protected Veterans,,6 ,,4 ,,1 ,,0 ,,0 ,,
Open Protected Veteran Slots,,0 ,,2 ,,5 ,,6 ,,6,,
Core Player,Available ,,Available ,,Available ,,Available ,,Available,,,
2023 Round 3 Pick 3 (27) (ATL),U,"$62,285 ",U,"$63,532 ",U,"$66,710 ",OPT,"$76,240 ",RFA,,,
2023 Round 3 Pick 5 (29) (PHO),U,"$62,285 ",U,"$63,532 ",U,"$66,710 ",OPT,"$76,240 ",RFA,,,
2024 Round 1 Pick ? (?) (PHO),,,U,"$??,??? ",U,"$??,??? ",U,"$??,??? ",OPT,"$??,??? ",,
2024 Round 3 Pick ? (?) (CHI),,,U,"$64,154 ",U,"$65,438 ",U,"$68,711 ",OPT,"$78,527 ",,
2024 Round 3 Pick ? (?) (PHO),,,U,"$64,154 ",U,"$65,438 ",U,"$68,711 ",OPT,"$78,527 ",,
2025 Round 1 Pick ? (?) (PHO),,,,,U,"$??,??? ",U,"$??,??? ",U,"$??,???",,
2025 Round 2 Pick ? (?) (CHI),,,,,U,"$69,267 ",U,"$70,653 ",U,"$77,720 ",,
2025 Round 2 Pick ? (?) (PHO),,,,,U,"$69,267 ",U,"$70,653 ",U,"$77,720 ",,
2025 Round 3 Pick ? (?) (PHO),,,,,U,"$66,079 ",U,"$67,401 ",U,"$70,773 ",,
