PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,
Jewell Loyd ,V,"$234,936 ",UFA,,,,,,,,"2022, 2023",
Mercedes Russell ,V,"$160,000 ",V,"$160,000 ",UFA,,,,,,,
Ezi Magbegor ,V,"$159,650 ",V,"$155,000 ",UFA,,,,,,,
Kia Nurse ,V,"$142,500 ",V,"$142,500 ",UFA,,,,,,,
Sami Whitcomb ,V,"$142,500 ",V,"$140,000 ",UFA,,,,,,,
Theresa Plaisance ,U,"$90,000 ",UFA,,,,,,,,,
Yvonne Turner,TC,"$74,305 ",UFA,,,,,,,,,
Jasmine Walker,U,"$70,000 ",Reserved,,,,,,,,,
Jade Melbourne,D,"$62,285 ",U,"$63,532 ",U,"$66,710 ",OPT,"$76,240 ",RFA,,,
Ivana Dojkić,TC,"$62,285 ",Reserved,,,,,,,,,
Kaila Charles ,TC,"$62,285 ",Reserved,,,,,,,,,
Arella Guirantes ,TC,"$62,285 ",Reserved,,,,,,,,,
Sue Bird ,UFA,,,,,,,,,,"2008, 2009",
Tina Charles,UFA,,,,,,,,,,"2018, 2019, 2020",
Briann January ,UFA,,,,,,,,,,,
Jantel Lavender ,UFA,,,,,,,,,,,
Gabby Williams,RFA,,,,,,,,,,,
Total Salaries (excl. TC & D),,"$999,586 ",,"$661,032 ",,"$66,710 ",,"$76,240 ",,$0 ,,
Total Players (excl. TC & D),,7 ,,5 ,,1 ,,1 ,,0,,
Cap Room,,"$420,914 ",,"$802,168 ",,"$1,440,390 ",,"$1,476,060 ",,"$1,598,800 ",,
Open Roster Slots,,4 to 5 ,,6 to 7 ,,10 to 11 ,,10 to 11 ,,,,
Above/Below Minimum,,"-$189,404 ",,"-$563,598 ",,"-$1,194,730 ",,"-$1,223,000 ",,"-$1,338,210 ",,
Total Guaranteed Salary,,"$839,586 ",,"$597,500 ",,$0 ,,$0 ,,$0 ,,
Total Protected Veterans,,5 ,,4 ,,0 ,,0 ,,0,,
Open Protected Veteran Slots,,1 ,,2 ,,6 ,,6 ,,6 ,,
Core Player,J. Loyd ,,Available ,,Available ,,Available ,,Available,,,
2023 Round 1 Pick 9 (9) (SEA),U,"$68,295 ",U,"$69,663 ",U,"$76,630 ",OPT,"$87,080 ",RFA,,,
2023 Round 2 Pick 6 (18) (NYL),U,"$65,290 ",U,"$66,597 ",U,"$73,258 ",OPT,"$83,248 ",RFA,,,
2023 Round 2 Pick 9 (21) (SEA),U,"$65,290 ",U,"$66,597 ",U,"$73,258 ",OPT,"$83,248 ",RFA,,,
2023 Round 3 Pick 9 (33) (SEA),U,"$62,285 ",U,"$63,532 ",U,"$66,710 ",OPT,"$76,240 ",RFA,,,
2024 Round 1 Pick ? (?) (SEA),,,U,"$??,??? ",U,"$??,??? ",U,"$??,??? ",OPT,"$??,???",,
2024 Round 2 Pick ? (?) (SEA),,,U,"$67,249 ",U,"$68,595 ",U,"$75,456 ",OPT,"$85,745 ",,
2024 Round 3 Pick ? (?) (SEA),,,U,"$64,154 ",U,"$65,438 ",U,"$68,711 ",OPT,"$78,527 ",,
2025 Round 1 Pick ? (?) (SEA),,,,,U,"$??,??? ",U,"$??,??? ",U,"$??,???",,
2025 Round 2 Pick ? (?) (SEA),,,,,U,"$69,267 ",U,"$70,653 ",U,"$77,720 ",,
2025 Round 3 Pick ? (?) (SEA),,,,,U,"$66,079 ",U,"$67,401 ",U,"$70,773 ",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
